job_title,company_name,company_location,work_method,post_date,no_of_applicants,work_time,no_of_employees,industry,job_desc
"Data Science Lead, Trust & Safety",TikTok,"Singapore, Singapore",Hybrid,2 weeks ago,5 applicants,Full-time · Entry level,11-50 employees,Insurance,"About the job
Responsibilities

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

Our Trust & Safety team's commitment is to keep our online community safe. We have invested heavily in human and machine-based moderation to remove harmful content quickly and often before it reaches our general community.

As the Data Science Lead on TikTok's Trust and Safety APAC team, you will be instrumental in ensuring that TikTok remains a safe, trustworthy, and risk-free environment. By implementing your domain knowledge, you will help diagnose, triage, and treat large-scale safety issues. You will scope out projects, use ground-truth data to inform strategies, and use data and insights to form best-in-class heuristics to proactively detect and disarm safety incidents. You will be leading TikTok APAC's top priority while partnering with a variety of stakeholders across the product, operations, policy, and engineering teams - both locally and globally.

Responsibilities
1. Own large-scale quantitative analysis projects from start to finish, including developing metrics, creating analytical frameworks and distilling complex results into clear and concise insights;
2. Drive the strategic planning and execution of long-term business plans through in-depth business analysis, industry studies and the study of market trends;
3. Design and establish indicator systems for safety and risks of the platform, monitor and optimize risk coverage in each link, measure the performance of content safety strategies and facilitate intricate decision-making;
4. Proactively identify, detect, and mitigate risk to our community ecology, and help devise strategies to combat it;
5. Lead and collaborate with cross functional teams through communication of data supported insights.

Qualifications

1. BA/BS in a quantitative field such as Mathematics, Economics, Statistics, or other related fields;
2. Minimum 8 years of professional work experience focusing on quantitative analysis;
3. Experience collaborating with cross-functional teams, communicating across effectively and efficiently;
4. Proficient in pulling large and complex data using SQL presenting it on data visualization tools;
5. Ability to synthesize and communicate complex concepts and analyses in a coherent and comprehensive way;
6. Experience in leading, managing and coaching team members.

Trust & Safety is committed to the wellbeing of all our employees. Our promise is to provide comprehensive and evidence-based programs, to promote and support physical and mental wellbeing throughout each employee's journey with us. We believe that wellbeing is a relationship and that everyone has a part to play, so we work in collaboration and consultation with our employees and across our functions in order to ensure a truly person-centred, innovative and integrated approach.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
Data Analyst,IKIGAI ENABLERS,"Singapore, Singapore",Hybrid,1 week ago,79 applicants,Full-time · Mid-Senior level,"10,001+ employees",Government Administration,"About the job
Data Analyst + Consultant (3 5 years)
Experience on identifying data patterns, points and report building
Ability to translate data into stories
Experience in data screening, data analysis, preparing reports, charts, graphs using data
Working experience on reporting tools(Any)
Programming in R, python, any reporting tool (Power BI)"
Research Scientist (Food Packaging Material),Republic Polytechnic,"Singapore, Singapore",On-site,1 year ago,156 applicants,Full-time · Mid-Senior level,201-500 employees,Staffing and Recruiting,"About the job
Grow with Republic Polytechnic. Discover a people- and family-oriented culture, where you are inspired to improve as you nurture lifelong learners. If you share our passion, join us!

For more information from RP, please visit http://www.rp.edu.sg/careers or follow us on LinkedIn.

Job Responsibilities:
Provide food packaging materials research and development, towards shelf-life extension of foods
Develop sustainable packaging alternatives to replace single-use plastics
To conduct active packaging technologies in the area of improving barrier properties, incorporation of antimicrobial agents, anti-oxidants, modified atmosphere packaging techniques, etc.
Support the procurement of necessary packaging test equipment through writing of equipment specifications.
To liaise with industry collaborators and conduct project work independently
Conduct courses and supervise students in their project/internship.

Job Requirements:
Relevant qualification in Material Science, Material Engineering, Chemistry, Packaging Science or other related disciplines.
Strong communication and interpersonal skills with the ability to build strong working relationships with people at all levels.
Possess sound planning, organising, good multi-tasking skills, with a strong sense of responsibility for completing assigned duties on time.
Proficient in IT skills.
Good documentation skills, laboratory techniques, and research and data analysis skills.
Successful candidate will be employed on a contract basis."
Data Center Selection,Cloudflare,"Singapore, Singapore",On-site,2 weeks ago,88 applicants,Full-time · Entry level,"10,001+ employees",Higher Education,"About the job
About Us

At Cloudflare, we have our eyes set on an ambitious goal: to help build a better Internet. Today the company runs one of the world’s largest networks that powers approximately 25 million Internet properties, for customers ranging from individual bloggers to SMBs to Fortune 500 companies. Cloudflare protects and accelerates any Internet application online without adding hardware, installing software, or changing a line of code. Internet properties powered by Cloudflare all have web traffic routed through its intelligent global network, which gets smarter with every request. As a result, they see significant improvement in performance and a decrease in spam and other attacks. Cloudflare was named to Entrepreneur Magazine’s Top Company Cultures list and ranked among the World’s Most Innovative Companies by Fast Company.

We realize people do not fit into neat boxes. We are looking for curious and empathetic individuals who are committed to developing themselves and learning new skills, and we are ready to help you do that. We cannot complete our mission without building a diverse and inclusive team. We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare. Come join us!

We are seeking a new Data Center Selection team member to improve the quality and unit cost and grow the size and number of our colocation sites/PoPs, and help us understand where on the map Cloudflare’s infrastructure needs to go next. You possess a broad set of contacts across the data center industry and are able to navigate local and international businesses in various markets to drive the best possible deal parameters. You will unlock efficiency within our vendor partner portfolio by understanding how to structure contracts to follow demand, keeping abreast of unique market dynamics and insights that help us negotiate, and managing vendor partner relationships to know where to invest and partner further with existing or new partners. We are looking for someone who excels at progressing many projects in parallel, managing dynamic day to day priorities with many stakeholders, and has experience implementing and refining sourcing best practices in a high growth environment. Getting stuff done is a must!

The Data Center Strategy team is part of Cloudflare’s global Infrastructure (INF) team. The INF team grows and manages Cloudflare’s global data center/PoP footprint, enabling Cloudflare’s tremendous growth with compute, network, and data center infrastructure, utilizing an extensive range of global partner vendors.

What you get to do in this role:

Define regional vendor strategy for data centers
Own deals end to end involving new and existing data center vendors and sites to support Cloudflare’s infrastructure growth including planning, RFP, commercial negotiation and execution
Work cross-functionally with legal, operations, capacity planning, network strategy and security teams to understand requirements and project timelines
Establish and conduct scheduled QBR and other vendor management activities with top category partners
Represent Cloudflare credibly to external partner C-level senior management and at public conferences/events
Expert point of contact for internal business customers & external colocation partner vendors as needed
Contribute information to annual data center budget for effective tracking and benchmarking of infrastructure costs
Review colocation spend & invoices for management approval
Other duties as assigned

Skills/Experience:

10+ years in planning and managing data center footprints within a fast moving enterprise technology organization or cloud services, software or colocation company
Ability to multi-task and manage complex projects across multiple teams and geographies within set deadlines
Ability to navigate, solve problems and answer questions with minimal supervision
Relationship management experience and excellent communication skills
Demonstrated experience in commercial negotiation
Experience with rack, site power and white space planning (data center sales engineering) a plus
Experience with or understanding of network concepts a plus
Experience in budget planning, financial analysis, or other analytical role a plus
Experience with Jira a plus
Multilingual and/or experience living/working/conducting business in another country a plus
Bachelor's degree or equivalent experience required

What Makes Cloudflare Special?

We’re not just a highly ambitious, large-scale technology company. We’re a highly ambitious, large-scale technology company with a soul. Fundamental to our mission to help build a better Internet is protecting the free and open Internet.

Project Galileo : We equip politically and artistically important organizations and journalists with powerful tools to defend themselves against attacks that would otherwise censor their work, technology already used by Cloudflare’s enterprise customers--at no cost.

Athenian Project : We created Athenian Project to ensure that state and local governments have the highest level of protection and reliability for free, so that their constituents have access to election information and voter registration.

Path Forward Partnership : Since 2016, we have partnered with Path Forward, a nonprofit organization, to create 16-week positions for mid-career professionals who want to get back to the workplace after taking time off to care for a child, parent, or loved one.

1.1.1.1 : We released 1.1.1.1 to help fix the foundation of the Internet by building a faster, more secure and privacy-centric public DNS resolver. This is available publicly for everyone to use - it is the first consumer-focused service Cloudflare has ever released. Here’s the deal - we don’t store client IP addresses never, ever. We will continue to abide by our privacy commitment and ensure that no user data is sold to advertisers or used to target consumers.

Sound like something you’d like to be a part of? We’d love to hear from you!

This position may require access to information protected under U.S. export control laws, including the U.S. Export Administration Regulations. Please note that any offer of employment may be conditioned on your authorization to receive software or technology controlled under these U.S. export laws without sponsorship for an export license.

Cloudflare is proud to be an equal opportunity employer. We are committed to providing equal employment opportunity for all people and place great value in both diversity and inclusiveness. All qualified applicants will be considered for employment without regard to their, or any other person's, perceived or actual race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship, age, physical or mental disability, medical condition, family care status, or any other basis protected by law. We are an AA/Veterans/Disabled Employer.

Cloudflare provides reasonable accommodations to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job. Examples of reasonable accommodations include, but are not limited to, changing the application process, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. If you require a reasonable accommodation to apply for a job, please contact us via e-mail at hr@cloudflare.com or via mail at 101 Townsend St. San Francisco, CA 94107."
Junior Data Engineering Consultant - Graduate Programme,FDM Group,"Singapore, Singapore",On-site,1 week ago,84 applicants,Full-time · Mid-Senior level,"10,001+ employees",Professional Services,"About the job
The demand for Data Engineers has never been greater! Driven by the pressing needs for businesses to make data-driven decisions, FDM is seeking the next generation of specialists to join our Data Engineering graduate program and fast track their way to senior roles.

About this role

On the FDM Data Engineering Program, you will undergo industry recognised training before putting that into practice by working on projects with one of our industry leading clients. This programme will provide you with multiple future career opportunities ranging from Data Engineer to more specified roles such as Data Scientist.

Our program recognises that Data Engineers are Software Engineers who specialise in handling large volumes of data from a variety of sources and in a variety of formats. Making sense of this data is critical for making intelligent and informed decisions and is predicated on building data pipelines capable of handling the volumes and velocity at which this data is generated. Our Data Engineers help organisations build these data pipelines using core programming languages (Python) and concepts (OOP), technologies and frameworks such as the Hadoop framework.


Through our program you’ll be equipped with knowledge and skills in the Hadoop framework and ancillary technologies, the ability to design and create scalable data-centric solutions in the form of data pipelines with the potential to process huge databases. This will provide you with a strong foundation upon which you can build a diverse and successful career.


What we offer you
A full-time contract with a salary from Day 1 of training
Training is provided by industry experts, covering both technical and professional skills to ensure you are job-ready
Ongoing career support throughout your entire FDM journey, including professional development, mentoring, and social networking events with a community of peers
A chance to launch a career in one of the most in-demand tech fields


Minimum Qualifications
Educated to a university degree level (bachelor or higher), no STEM degree required
Demonstrable interest and desire to work in technology
Ability to commit to completing our full 2.5-year graduate program
Eligible to work in Singapore


There has never been a better time to start a career in tech – Apply Now!


About FDM
Our people are our passion and that's why we make your training and career growth our priority. We are a global professional services provider focusing on IT and one of the Australia's leading graduate employers, recruiting the brightest talent to become the innovators of tomorrow. With centres across Europe, North America and Asia-Pacific, and nearly 5000 consultants currently placed on client site around the world, FDM has shown exponential growth throughout the years, firmly establishing itself as an award-winning FTSE 250 employer.


Diversity and Inclusion
FDM Group is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status or any other status protected by federal, provincial or local laws."
Cloud Solution Engineer,ByteDance,"Singapore, Singapore",On-site,1 week ago,56 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Motor Vehicle Manufacturing,"About the job
About ByteDance
Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.

Why Join Us
At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.

About the Team
The Game Technology team is playing a significant role in the whole life cycle of the game. We are responsible for the development, testing, operation, SRE, and quality assurance of the user and operating system, and give strong support for game developing and publishing. Providing comprehensive and systematical solutions, support the stable operation and commercialisation of the game.

- Build and develop cloud service solutions for game projects and peripheral systems.
- Drive all aspects of program management (planning incorporating dependencies, key milestones and deliverables, data gathering, analysis, communication, risk management and mitigation, status tracking and reporting, implementation, monitoring, execution, delivery of the initiative/program and documentation).
- Influence and collaborate across organizations including engineering, product, security, legal, compliance, finance, and more to effectively build commitment with execution teams, negotiate competing requirements, ensure alignment and program progress, and improve processes.
- Partner with leadership to identify and solve cross-functional challenges.
- Responsible for game-related solution investigation, including research, testing, management, monitoring and optimisation.
- Liaise and cooperate with third party vendors, including ISP, Cloud and any other commercial solution providers.

Qualifications
- Independent, critical thinking to navigate through ambiguity from a vague problem to a detailed solution.
- Self-motivated and proactive with a proven ability to adapt well in a fast paced tech company.
- Bachelor's Degree in the technical field with 5+ yrs of project management experience.
- Capable of network trouble shooting and optimization skills.
- Familiar with Linux OS and system management script, including shell, python, etc.
- Hands-on experience and familiar with technical architecture of GCP/AWS/Azure.
- Strong ability to influence and partner with stakeholders across multiple organizations to ensure alignment, mitigate risks, manage competing priorities, and allocate resources.
- Strong oral and written communication.

Preferred Qualifications
- Experience in cloud-based implementing support for medium and large scale game projects.

ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
"Senior Associate, Semiconductors",Singapore Economic Development Board (EDB),"Singapore, Singapore",On-site,1 week ago,47 applicants,Full-time,201-500 employees,IT Services and IT Consulting,"About the job
About EDB

The Singapore Economic Development Board (EDB), a government agency under the Ministry of Trade and Industry, is responsible for strategies that enhance Singapore’s position as a global centre for business, innovation, and talent. We undertake investment promotion and industry development, and work with international businesses, both foreign and local, by providing information, connection to partners and access to government incentives for their investments. Our mission is to create sustainable economic growth, with vibrant business and good job opportunities for Singapore.

For more information on EDB, please visit www.edb.gov.sg

About Accounts (Semiconductors)

The team partners key companies in the Semiconductors sector to develop and implement strategies in their pursuit of new business opportunities in Singapore for the region and/or globally. We pride ourselves on the sustained long-term relationships between Singapore and key multinational companies; we bring insights about the industry and Singapore. We work closely with various teams in EDB and external stakeholders to provide solutions and secure the establishment of project investments. We forge networks across the sector and with the larger business community/ ecosystem. More importantly, the team’s hard work is translated to valuable business and job opportunities for Singapore. You will play a crucial role in the team to support and implement key activities and initiatives with identified corporate clients. In the process, you will be working closely with company executives, external stakeholders (within and outside the Singapore government) and colleagues in EDB to ensure smooth delivery of project or partnership outcomes. You will report to the Senior Vice President, Semiconductor and at the same time, receive mentorship and guidance from the project teams that you work with in EDB.

Responsibilities

In this role, your responsibilities will include:
Support Account Managers in the planning and execution of account management activities for portfolio of companies in the end-to-end process of account development, project negotiation and execution and client servicing
Gain deep understanding of clients, their needs, operations, and structure to implement and execute client engagement strategies
Undertake tasks and assignments to achieve client engagement and project negotiation and servicing outcomes; these can include company-level analysis, preparing relevant materials (e.g. proposals for partnership/ investment opportunities, talking points for meetings, addressing information requests, reporting needs), incentive processing, developing solutions, drafting contracts and project monitoring
Build sound understanding of regional/global industry and business trends, as well as Singapore’s value propositions in key thematic areas relevant to the business needs of Semiconductor companies to create project or partnership opportunities and value-add to client relationships
Activate relevant resources and expertise (in EDB/ government/ ecosystem partners) to support client engagement activities
Coordinate with Account Managers and other teams in EDB (e.g. other Account teams, Strategy, Policy & Planning, Finance and Legal) to ensure smooth execution of end-to-end account management process
Work closely with Account Managers on progress of tasks and assignments, communicate insights and needs of clients, and highlight recommendations for implementation of tasks and assignments, and enhancing client experience
Adhere to EDB’s service principles to ensure good client experience with EDB
Requirements
1 to 2 years of experience, in business development, consulting, and/or engaging and driving successful project and investment outcomes with corporate clients
Demonstrate good analytical thinking; able to analyse different complex issues, distil insights and recommend actionable solutions
Highly adaptable and resourceful in finding innovative solutions to address challenges (e.g. clients’ requests)
Able to work independently and at the same time, work well in a dynamic, cross-functional team environment
Self-starter, team player, driven, with a positive attitude and excellent work ethic
Client-focused; adept at building and maintain positive client relationships
Excellent interpersonal and communication skills, both written and spoken; including ability and experience in engaging and managing stakeholders across all levels of seniority internally and externally
Possess versatility in thought and approach, is inquisitive and willing to learn and develop knowledge and skills across a spectrum of subject domains
Singaporean
Applicants may expect to receive an application outcome within 8 weeks of application date."
Senior Associate Software Applications Development Engineer,NTT,"Singapore, Singapore",On-site,1 week ago,58 applicants,Full-time · Entry level,51-200 employees,"Technology, Information and Internet","About the job
NTT is a leading global IT solutions and services organisation that brings together people, data and things to create a better and more sustainable future.

In today’s ‘iNTTerconnected’ world, connections matter more now than ever. By bringing together talented people, world-class technology partners and emerging innovators, we help our clients solve some of the world’s most significant technological, business and societal challenges.

With people at the heart of our success, NTT is committed to attracting and growing the best talent and providing an environment where everyone feels they can belong and their contribution matters.

Want to be a part of our team?

Analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in local, networked, cloud-based, or Internet-related computer programs.

Code may be used in commercial or end-user applications, such as materials management, financial management, HRIS, mobile apps, or desktop applications products.

Using current programming language and technologies, writes code, completes programming, and performs testing and debugging of applications.

Completes documentation and procedures for installation and maintenance.

May interact with users to define system requirements and/or necessary modifications.

Working at NTT

The primary responsibility of the Software Applications Development Engineer is to develop new applications and improve upon existing ones that will our client and business needs.

Key Roles And Responsibilities

Develop applications that effectively accomplish client objectives and user needs.

Design and write code for applications and maintain applications databases.

Analyze and edit existing software applications to improve and optimize functionality, fix problems, and enable their use on new hardware platforms.

Remodel and adapt applications as needed to optimize performance.

Identify specific customer and client needs and preferences related to the application.

Test applications extensively to ensure they are error and bug-free.

Install applications and act as technical advisor.

Communicate with relevant internal technical stakeholders to obtain information on project limitations, performance requirements, and interfaces.

Consult with clients in the design phase to determine client needs.

Produce software documentation following company software process and templates.

Participates in software product review meetings and team meetings.

Knowledge, Skills, And Attributes

Broad understanding of computer science, with specific knowledge of computer programming, application design, and user-focused features
Creative problem solvers
Good interpersonal, communication, and organizational skills
Good team players and maintain the integrity and display good attention to detail
Ability to understand and analyze complex systems
Proficient in writing software using the Java Programming Language and a standard object library
Sound knowledge of software development process
Familiarity with agile development such as Scrum
Knowledge of software integrated development environments
Extensive knowledge in various programming languages (Java, Perl, Python, C++, etc.)
Demonstrated analytical, organizational, and project management skills, using relevant information to make timely and critical decisions that affect cross-functional teams
Ability to handle client and customer issues tactfully and professionally

Academic Qualifications And Certifications

Bachelor's degree in computer science or software engineering
Relevant certifications

Required Experience

Software Applications Engineering, Software Development experience, or related work experience
Experience with Programming Languages such as C, C++, Java, Python, etc.
Experienced with Linux or Unix and Windows operating systems
Experience working with SQL
Project management experience and/or experience working in an Agile environment

What will make you a good fit for the role?

Join our growing global team and accelerate your career with us. Apply today.

A Career At NTT Means

Being part of a global pioneer – where you gain exposure to our Fortune 500 clients and world-leading global technology partners and work with a network of over 40,000 smart and diverse colleagues across 57 countries, delivering services in over 200 countries.
Being at the forefront of cutting-edge technology – backed with a 150-year heritage of using technology for good. With 40% of the world’s internet traffic running on our network and where Emoji were first invented, you can be proud of the group’s many new ‘firsts’.
Making a difference – by doing meaningful work that helps to shape the future for our clients, and across industries and communities around the world.
Being your best self – in a progressive ‘Connected Working’ environment that promotes flexibility, connection and wellbeing. Where diversity and different perspectives are embraced to ensure equal opportunities for all.
Having ongoing opportunities to own and develop your career – with a personal and professional development plan and access to the broadest learning offerings in the industry."
May to Oct/Dec 2023 Uni internship - Development and validation of deep learning models,IHiS (Integrated Health Information Systems),"Singapore, Singapore",On-site,1 month ago,43 applicants,Full-time,"501-1,000 employees",Staffing and Recruiting,"About the job
Are you someone who enjoys problem solving, has a curious mind and more importantly, keen to make a difference in the future of HealthTech?

If so, apply for internship @IHiS.

Check out our IHiS video to learn more about us and our environment where you can bring your ideas to life: https://youtu.be/tRFi5i6Dwiw

Join us, and #ExperienceHealthTech today for a healthier SG tomorrow!

The objective of the project is to develop a deep learning model for healcare use case. The project will provide the candidate with direct hands-on experience of deep learning model development and validation. In addition, the candidate will learn how to implement a real life end-to-end deep learning solution for healthcare applications.

Proposed Scope Of Work

In the first phase of the project the candidate will be applying data exploration and processing techniques to get acquainted with the dataset and create a data processing pipeline to prepare the data in a suitable format for model ingestion.
In the second phase of the project the candidate will use the preprocessed data to develop a deep learning model
At the end of the project, the candidate will be familiarized with deep learning model development and validation, and have a better understanding of healthcare domain application.

This internship will be at 1 Maritime Square #12-01 Harbourfront Centre Singapore 099253

Requirements

Be pursuing a Bachelor Degree in Computer Engineering, Computer Science, Business Analytics, Data Analytics, Information Systems or related discipline
Be graduating in May/December 2024 or May 2025
Good team player with strong communication skills with project teams, stakeholders, contractors including both technical and non-technical personnel
Passionate about IHiS and keen to make a difference and reimagine the future of HealthTech"
"Consultant, Risk",ABS Group,"Singapore, Singapore",On-site,4 weeks ago,74 applicants,Full-time,"10,001+ employees",IT Services and IT Consulting,"About the job
Job Description

Job Capsule

The Engineer is responsible for handling engineering design review and analysis assignments normally involving a major project or several smaller or less complex projects. These projects by nature of their complexity and difficulty, require the fully competent application of conventional knowledge in a particular field of engineering or science. Through broader and more technically challenging work assignments, will develop a thorough understanding of policies, methods and procedures.

Job Duties/Roles
Provide risk and reliability engineering activities for marine and offshore projects utilizing both qualitative and quantitative reliability analysis methods such as HAZID, HAZOP, Fault tree analysis, Quantitative Risk Assessment, fire/explosion/dispersion consequence simulations, etc.
Review engineering technical specifications and drawings in the area of process and control engineering
Prepare technical reports to identify units posing an excessive risk to Safety, Assets, and the Environment.
Advise and confer with engineers in design review meetings and technical workshops to give risk and reliability findings and recommendations.
Active in assisting the team with business development opportunities and technical proposal drafting.
Perform any duties assigned by the supervisor.

Knowledge, Skills and Abilities Required (KSAR)
Knowledge of related technical disciplines is preferred.
Related experience in their field and demonstrated capabilities preferred.
Independent, minimal supervision required due to specialized nature of the position.
Manage multiple projects simultaneously.
Knowledge of company business policies and procedures.
Human relation skills are necessary to maintain positive client contacts and peers.
Ability to identify, analyze, and propose creative, unique solutions to problems.
Ability to undertake short- and long-term planning to provide for efficient and effective scheduling of work assignments.
Ability to effectively communicate orally and in writing.
Ability to work well with others.
Ability to make effective oral presentations to clients.

Minimum years of Experience

0-5 Years Related Experience Preferred.

Required/Preferred Education Requirements

A Bachelor’s degree or higher degree in chemical engineering and/or Bachelor’s/Master's in health, Safety and Environment related courses

Required/Preferred Professional Requirements

Consequence software experience preferred – E.g., PHAST, FLACS, KFX, InFlux, Fluent

About Us

Experience with offshore Formal Safety Assessments preferred.

We set out more than 160 years ago to promote the security of life and property at sea and preserve the natural environment. Today, we remain true to our mission and continue to support organizations facing a rapidly evolving seascape of challenging regulations and new technologies. Through it all, we are anchored by a vision and mission that help our clients find clarity in uncertain times.

ABS is a global leader in marine and offshore classification and other innovative safety, quality, and environmental services. We’re at the forefront of supporting the global energy transition at sea, the application of remote and autonomous marine systems, cutting-edge technical solutions, and many more exciting advancements. Our commitment to safety, reliability, and efficiency is ever-present, guiding our clients to safer and more efficient operations.

Equal Opportunity

The ABS Group of Companies is committed to the equal employment opportunity of its employees and prohibits discrimination against any employee or qualified applicant based on race, color, creed, religion, national origin, sex, gender identity, age, disability, marital status, sexual orientation, citizenship status or veteran status, or other non-work-related characteristics that may be protected under the law of the Federal Government or specific state employment laws.

Other

This job description is not intended, and should not be construed, to be an all-inclusive list of responsibilities, skills, efforts or working conditions associated with the job of the incumbent. It is intended to be an accurate reflection of the principal job elements essential for making a fair decision regarding the pay structure of the job. #ogjs"
Australasia Data Science Lead,Arup,"Singapore, Singapore",Remote,1 week ago,6 applicants,Full-time · Mid-Senior level,11-50 employees,IT Services and IT Consulting,"About the job
Do you want to make a positive impact on the world? Sustainable development is at the heart of everything we do.

Seventy-five years ago, we created a home for creative thinkers seeking to solve the world’s biggest challenges. Today, a collective of 16,000+ Arupians gather across the globe from 140 different countries to build a sustainable future.

We strive to create an inclusive environment and give everyone a voice. Diversity drives innovation in our projects and offers empathy to the communities we serve. We welcome and encourage applications from people living with disability and provide workplace adjustments.

At Arup, you’ll do more than work — you’ll shape a better world.

About This Role

Are you someone who Leverages the power of Data Science to make decisions? Arup is blending cutting edge data science techniques with deep domain expertise to produce better outcomes for our clients, the environment, and society at large. Stationed in Singapore, Sydney or Melbourne you will apply your data science expertise and leadership skills through projects that have a tangible impact on the world around you, within a firm that has a clear sense of purpose.

What will I do?

Provide the commercial, technical, and team leadership for the Digital Services Portfolio’s data science capability in the Australasia region. To do that you will Collaborate closely with leadership and practitioners in other Portfolios to drive execution of the Arup strategy.
Identify, bid for, win, and lead delivery of client projects with a significant data science component (or the data science component of larger projects).
Build client relationships that establish our presence and market reputation for data science in the region.
Increase the data science capacity in the Portfolio in region, in a manner that is aligned with the region’s strategy, operational plan, and performance.
Collaborate closely with initiatives globally and in other regions, e.g. the Data Science and Data Engineering Centres of Excellence, the Arup Data Platform, global Digital Services investment programmes, and Digital Services Portfolio teams in other regions.

What will I bring?

Over 15 years of experience as a data science practitioner, sufficient to provide technical leadership to the team and broader colleagues in the region. Technical stack to include Python, open-source data science frameworks, and major cloud environments.
Equally substantive experience of building, operating, and delivering a commercial pipeline of data science projects, including bid writing, costing and budgeting, resource planning, etc.
Sustained experience of building and leading high-performing teams, including developing junior practitioners, mentoring, etc.
The ability to communicate effectively with a wide range of stakeholder groups, including senior executives, aligning with business strategy, and influencing outcomes.
An advanced degree or equivalent, in a numerate discipline with strong statistical component.

Our firm

Dedicated to sustainable development, the firm is a collective of 16,000 designers, advisors and experts working across 140 countries. Founded to be both humane and excellent, we collaborate with our clients and partners using imagination, technology and rigour to shape a better world.

We create spaces where everyone feels safe, seen and included and able to perform at their best. We take an approach to flexible working that supports the diversity and well-being of our members.

Are you ready to shape a better world?

Our open roles are waiting for you on the Arup careers page. If you like what you see here, apply today.

Arup does not accept unsolicited resumes from recruiters or employment agencies."
"Manager/Senior Manager, Media Capability Development",IMDA,"Singapore, Singapore",On-site,4 weeks ago,54 applicants,Full-time · Mid-Senior level,"10,001+ employees",Human Resources,"About the job
What The Role Is

You will be part of a dynamic team within the Media Capability Development Division, who will conceptualise and execute strategies to foster a vibrant media ecosystem, comprising market leading MNCs and globally competitive and innovative media companies in Singapore.

What You Will Be Working On
Monitor and contextualise global shifts and industry trends impacting the competitiveness of Singapore’s media industry and ecosystem
Collaborate with industry partners in the new media ecosystem to identify new growth opportunities such as in gaming, social media, metaverse, digital assets and NFTs
Formulate strategies to capture economic value from global markets
Design interventions, draw out execution plans and run initiatives in partnership with government and industry stakeholders to support the strategies and growth opportunities in new media spaces
Identify strategic media capabilities that can be proliferated across other sectors beyond media
Coordinate discussion and engagement sessions with internal and external stakeholders, including the preparation of meeting materials
Closely monitor projects and ensure that deliverables are achieved in a timely manner

What We Are Looking For
6-10 years of relevant working experience
Experience in work related to AI, gaming, social media, metaverse, digital assets and NFTs will be an advantage
Experience in technological projects within media/new media organisations
Strong research, problem-solving and analytical capabilities to synthesize complex situation and data sets into easy to consume and actionable business insights. Experience in management consulting, strategy work and/or data analytics will be an advantage.
Extensive experience in Project Management and able to deliver under compressed deadlines in a fast-paced dynamic environment that demands flexibility, high quality, and creativity
Experience in facilitating and managing communication with senior stakeholders and co-workers
Effective verbal and written communication skills and organisational skills"
